membership_type,membership,age_range,handedness,rookie_delivery_type
Rookie,Rookie,,,
"All-Star Kit (Age 11-14), right handed ($54.95)",All-Star Kit,Age 11-14,right handed,
"All Star Kit (Age 7-10), right handed ($54.95)",All-Star Kit,Age 7-10,right handed,
"All-Star Kit (Age 7-10), left handed ($54.95)",All-Star Kit,Age 7-10,left handed,
"All-Star Kit (Age 11-14), left handed ($54.95)",All-Star Kit,Age 11-14,left handed,
"All-Star Kit (Age 6 & Under), left handed ($54.95)",All-Star Kit,Age 6 & Under,left handed,
Rookie (Free Pick-Up) ($0.00),Rookie,,,Free Pick-Up
Rookie (Mailed) $5.95,Rookie,,,Mailed
"All-Star Kit (Age 6 & Under), right handed ($54.95)",All-Star Kit,Age 6 & Under,right handed,
All-Star,All-Star,,,
